Date	Mrkrs	Document_Title	Procedural_Step	Case_Num	Environmental_Analysis	Notes	Document_URL
6/28/1966	🟢	1355 mill st plan	Establishes plotlines	Historical	Historical property plan from 1966		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/1966_06_28_1355%20mill%20st%20plan.PDF
2/5/1969	🟢	Full_D0Z6	Establishes plotlines	Historical	Historical property document		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/1969_02_05_Full_D0Z6.pdf
7/27/2000	🟢	Quitclaim Deed Lot 2B	Delapa Transfers property to Vinci who pays $10k	Historical	Property transfer via quitclaim deed for Lot 2B; ?		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2000_07_27%20Quitclaim%20Deed%20Lot%202B.pdf
4/23/2001	🟢🔍	338-0303 Review Lot 2B Mill St	Substantive, regulation savvy review. This level of scrutiny should be referenced and applied today.	338-0303	DEP Review under file #338-0303		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2001_04_23%20338-0303%20Review%20Lot%202B%20Mill%20St.pdf
8/7/2014	🔒✏️	BVW Delineation Field Data Form		338-0594	Prepared by Goddard		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2014_08_07%20BVW%20Delineation%20Field%20Data%20Form.pdf
8/26/2014	🔒🟢✏️	Goddard Wetland Border Report		338-0594	Prepared by Goddard		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2014_08_26%20Wetland%20Border%20Report.pdf
10/27/2014	📐	GLM Boundary Delineation with Notations		338-0594	GLM drafted original.Revised in GEC report; does it reflect GLM's initial image?		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2014_10_27_GLM_Boundary_Delineation_w_Notations.png
10/27/2014	🟢📐	Wetland Delineation Plan RDA	**RDA Plan**	338-0594	Initial delineation for development	Filed by GLM Engineering of Hopkinton	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2014_10_27-DEP-0594-GLM_RDA_DELINEATION_PLAN.png
11/1/2014	❗	Notification of Abutters		338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2014_11_05_Notification_of_Abutters.pdf
11/13/2014	🟢⭐	Delapa ANRAD application	**Delapa ANRAD**	338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2014_11_13-DEP-0594-Goddard_ANRAD_application.pdf
6/21/2015	🟢	WCC hires GEC to review RDA		338-0594			
9/4/2015	🟢🔍	First Gec Site Visit		338-0594	Town hires consultant to verify delineation; WCC not trusting developer's submission	First GEC site visit for peer review	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_09_04_MISSING_First_GEC_Site_Visit.txt
10/7/2015	🟢	Second Gec Site Visit		338-0594	Additional peer review inspection; Thorough review suggests problems found	Second GEC site visit	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_10_07_MISSING_Second_GEC_Site_Visit.txt
10/28/2015	🟢🏛️⛔	Conservation Commission minutes	**ANRAD denied & withdrawn**	338-0594	Developer retreats to state-only jurisdiction; **BOUNDARIES DENIED UNANIMOUS**	*"Motion...that the Request for Wetland Boundary Confirmation for the Bordering Vegetated Wetland, potential Vernal Pool and the Perennial Stream is inaccurate"*; *"the stream must be observed during a non-drought or low flow season"* (Donahue); *"the owner has applied 3 times and has been denied each time"* (Foley)	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_10_28%20Conservation%20Commission%20minutes%2015151028.pdf
